object_url,lat,lon,original_name,new_name,second_part,number_of_occurrences,place_url,distance_km
https://www.openstreetmap.org/node/1104375578,40.3821745,49.8405594,Nəsimi Rayon Yanğınsöndürmә İdarәsi \ Kubinka,Nəsimi Rayon Yanğınsöndürmә İdarәsi,Kubinka,3,,
https://www.openstreetmap.org/node/1427887611,40.3933551,49.967626,İnter Petrol \ Günəşli,İnter Petrol,Günəşli,65,https://www.openstreetmap.org/node/1349663395,265.73
https://www.openstreetmap.org/node/1427895001,40.3868768,49.975915,Azpetrol \ Yeni Günəşli,Azpetrol,Yeni Günəşli,24,,
https://www.openstreetmap.org/node/1430719137,40.3952872,49.9731363,32-ci Suraxanı Polis Bölməsi \ Qaraçuxur,32-ci Suraxanı Polis Bölməsi,Qaraçuxur,65,https://www.openstreetmap.org/node/3565500393,0.66
https://www.openstreetmap.org/node/1430719148,40.3943639,49.9723142,Nuray Şadlıq Sarayı \ Qaraçuxur,Nuray Şadlıq Sarayı,Qaraçuxur,65,https://www.openstreetmap.org/node/3565500393,0.78
https://www.openstreetmap.org/node/1430720259,40.4112852,49.9649461,Səbinə Şadlıq Sarayı \ Bakıxanov,Səbinə Şadlıq Sarayı,Bakıxanov,276,https://www.openstreetmap.org/node/1642800271,1.32
https://www.openstreetmap.org/node/1430760772,40.4170759,49.973707,Vedi Market \ Bakıxanov,Vedi Market,Bakıxanov,276,https://www.openstreetmap.org/node/1642800271,1.21
https://www.openstreetmap.org/node/1434230967,40.3873313,49.9545197,Lukoil \ Әhmәdli,Lukoil,Әhmәdli,1,,
https://www.openstreetmap.org/node/1470635201,40.399794,49.8365984,36 saylı məktəb \ Bakı,36 saylı məktəb,Bakı,136,https://www.openstreetmap.org/node/2117350415,2.71
https://www.openstreetmap.org/node/1470638752,40.3997198,49.8357483,258 saylı məktəb \ Bakı,258 saylı məktəb,Bakı,136,https://www.openstreetmap.org/node/2117350415,2.69
https://www.openstreetmap.org/node/1485615492,40.4731245,49.8349379,Royal Petrol \ Binəqədi şossesi,Royal Petrol,Binəqədi şossesi,56,,
https://www.openstreetmap.org/node/1485617034,40.4545635,49.8422704,Emil Petrol \ Binəqədi şossesi,Emil Petrol,Binəqədi şossesi,56,,
https://www.openstreetmap.org/node/1620092867,40.40732,49.8647265,Lukoil \ Əhməd Rəcəbli,Lukoil,Əhməd Rəcəbli,1,,
https://www.openstreetmap.org/node/1642743141,40.4143805,49.9658471,252 saylı Məktəb Lisey \ Bakıxanov,252 saylı Məktəb Lisey,Bakıxanov,276,https://www.openstreetmap.org/node/1642800271,1.01
https://www.openstreetmap.org/node/1642766649,40.411887,49.9616173,Maşınqayırma Texnikumun Yataqxanası \ Bakıxanov,Maşınqayırma Texnikumun Yataqxanası,Bakıxanov,276,https://www.openstreetmap.org/node/1642800271,1.22
https://www.openstreetmap.org/node/1642767553,40.4138466,49.9517684,Azpetrol \ 8-ci km.,Azpetrol,8-ci km.,2,,
https://www.openstreetmap.org/node/1646575688,40.3943479,49.9759107,Aura Şadlıq Sarayı \ Qaraçuxur,Aura Şadlıq Sarayı,Qaraçuxur,65,https://www.openstreetmap.org/node/3565500393,0.58
https://www.openstreetmap.org/node/1754181571,40.4405607,50.0133908,SOCAR Petrol 1 \ Aeroport yolu,SOCAR Petrol 1,Aeroport yolu,2,,
https://www.openstreetmap.org/node/1761019298,40.358792,49.9476601,Baku Oil \ Zığ şossesi,Baku Oil,Zığ şossesi,3,,
https://www.openstreetmap.org/node/1764815784,40.3988629,49.9499936,GrandMart \ Xalqlar Dostluğu,GrandMart,Xalqlar Dostluğu,4,,
https://www.openstreetmap.org/node/1805987850,40.3853484,49.8778837,Fedeks Ekspress poçt xidməti \ Bakı Nərimanov,Fedeks Ekspress poçt xidməti,Bakı Nərimanov,2,,
https://www.openstreetmap.org/node/1809771457,40.4011712,49.8742256,Bank Respublika \ Nərimanov,Bank Respublika,Nərimanov,12,https://www.openstreetmap.org/node/7249409951,135.84
https://www.openstreetmap.org/node/1872317341,40.4808023,49.8559249,MS Oil \ Mehdiabad,MS Oil,Mehdiabad,25,https://www.openstreetmap.org/node/2064647688,1.8
https://www.openstreetmap.org/node/1893375815,40.3734062,49.8346285,MediClub \ Bakı,MediClub,Bakı,136,https://www.openstreetmap.org/node/2117350415,0.29
https://www.openstreetmap.org/node/1908775935,40.3793256,49.8479269,Cəfər Cabbarlı heykəli \ Bakı,Cəfər Cabbarlı heykəli,Bakı,136,https://www.openstreetmap.org/node/2117350415,1.35
https://www.openstreetmap.org/node/1933649769,40.4281241,49.8530852,126 saylı Məktəb \ Bakı,126 saylı Məktəb,Bakı,136,https://www.openstreetmap.org/node/2117350415,6.09
https://www.openstreetmap.org/node/1933737929,40.3667245,50.0812732,MS Oil \ Hövsan,MS Oil,Hövsan,90,https://www.openstreetmap.org/node/13233320097,0.04
https://www.openstreetmap.org/node/2015325759,40.3931725,49.9817688,Yağmur Şadlıq Sarayı \ Qaraçuxur,Yağmur Şadlıq Sarayı,Qaraçuxur,65,https://www.openstreetmap.org/node/3565500393,0.66
https://www.openstreetmap.org/node/2015329123,40.3958453,49.9830671,Maşallah Mağazası \ Qaraçuxur,Maşallah Mağazası,Qaraçuxur,65,https://www.openstreetmap.org/node/3565500393,0.45
https://www.openstreetmap.org/node/2015439245,40.3950859,49.9783713,Çörək Sexi \ Qaraçuxur,Çörək Sexi,Qaraçuxur,65,https://www.openstreetmap.org/node/3565500393,0.43
https://www.openstreetmap.org/node/2015659430,40.3964362,49.9772028,Xarici Dillər Təmayüllü Gimnaziya \ Qaraçuxur,Xarici Dillər Təmayüllü Gimnaziya,Qaraçuxur,65,https://www.openstreetmap.org/node/3565500393,0.32
https://www.openstreetmap.org/node/2015659442,40.3939775,49.9845236,318 saylı Məktəb \ Qaraçuxur,318 saylı Məktəb,Qaraçuxur,65,https://www.openstreetmap.org/node/3565500393,0.69
https://www.openstreetmap.org/node/2015659444,40.3981375,49.9773178,104 saylı Məktəb \ Qaraçuxur,104 saylı Məktəb,Qaraçuxur,65,https://www.openstreetmap.org/node/3565500393,0.19
https://www.openstreetmap.org/node/2015670027,40.3980052,49.9748162,20 saylı Xəstəxana \ Qaraçuxur,20 saylı Xəstəxana,Qaraçuxur,65,https://www.openstreetmap.org/node/3565500393,0.4
https://www.openstreetmap.org/node/2015687192,40.395335,49.9755315,141 saylı Məktəb \ Qaraçuxur,141 saylı Məktəb,Qaraçuxur,65,https://www.openstreetmap.org/node/3565500393,0.51
https://www.openstreetmap.org/node/2035130653,40.389328,49.856019,177 saylı Məktəb \ Bakı,177 saylı Məktəb,Bakı,136,https://www.openstreetmap.org/node/2117350415,2.49
https://www.openstreetmap.org/node/2039820445,40.384,49.8771901,Yanğından Mühafizə Cəmiyyəti \ Xətai,Yanğından Mühafizə Cəmiyyəti,Xətai,26,https://www.openstreetmap.org/node/4194199651,269.46
https://www.openstreetmap.org/node/2078510852,40.4360998,49.9299943,SOCAR 12 \ Aeroport şossesi,SOCAR 12,Aeroport şossesi,1,,
https://www.openstreetmap.org/node/2078511562,40.4390428,49.9391008,SOCAR Petrol 2 \ Aeroport yolu,SOCAR Petrol 2,Aeroport yolu,2,,
https://www.openstreetmap.org/node/2078665613,40.4401133,49.9388466,Kaskad Petrol \ Sabunçu dairəsi,Kaskad Petrol,Sabunçu dairəsi,1,,
https://www.openstreetmap.org/node/2078703544,40.3912458,49.9086713,Azpetrol \ Babək,Azpetrol,Babək,47,https://www.openstreetmap.org/node/2813687139,405.48
https://www.openstreetmap.org/node/2078703892,40.3927663,49.9145731,SOCAR Petrol \ Keşlə,SOCAR Petrol,Keşlə,2,,
https://www.openstreetmap.org/node/2101935566,40.3754686,49.8435136,Nizami Kinoteatrı \ Bakı,Nizami Kinoteatrı,Bakı,136,https://www.openstreetmap.org/node/2117350415,0.91
https://www.openstreetmap.org/node/2118807089,40.358276,49.9477491,Mehman Avtoyuma Yük Maşınları \ Zığ şossesi,Mehman Avtoyuma Yük Maşınları,Zığ şossesi,3,,
https://www.openstreetmap.org/node/2118824810,40.3851269,49.9742643,Qartal Abidəsi \ Yeni Günəşli,Qartal Abidəsi,Yeni Günəşli,24,,
https://www.openstreetmap.org/node/2133695494,40.3505411,49.8341316,Bayil market \ Bayıl,Bayil market,Bayıl,30,https://www.openstreetmap.org/node/1117022693,0.69
https://www.openstreetmap.org/node/2280792275,40.4260613,49.9916253,Albert Aqarunov abidə \ Əmircan,Albert Aqarunov abidə,Əmircan,28,https://www.openstreetmap.org/node/1885271086,0.47
https://www.openstreetmap.org/node/2503642587,40.4272785,49.9353648,KIA Motors Razin \ Bakıxanov,KIA Motors Razin,Bakıxanov,276,https://www.openstreetmap.org/node/1642800271,2.28
https://www.openstreetmap.org/node/2503642591,40.4287737,49.9401022,Nissan Avtoservice \ Bakıxanov,Nissan Avtoservice,Bakıxanov,276,https://www.openstreetmap.org/node/1642800271,1.94
https://www.openstreetmap.org/node/2763419459,40.4116365,49.9297906,Xarı Bülbül \ Koroğlu,Xarı Bülbül,Koroğlu,7,,
https://www.openstreetmap.org/node/2763421744,40.4082163,49.9328888,Xan Bağı \ 8 km Bakı,Xan Bağı,8 km Bakı,7,,
https://www.openstreetmap.org/node/2763421753,40.4068314,49.9337846,Dan Ulduzu Restoran \ Koroğlu,Dan Ulduzu Restoran,Koroğlu,7,,
https://www.openstreetmap.org/node/2763516978,40.4052718,49.9386155,Bahar Restoran \ 8 km Bakı,Bahar Restoran,8 km Bakı,7,,
https://www.openstreetmap.org/node/2763516982,40.4045097,49.9390589,Xudafərin Restoran \ 8 km Bakı,Xudafərin Restoran,8 km Bakı,7,,
https://www.openstreetmap.org/node/2763516983,40.4096948,49.9370141,Ras Plaza \ Karat Şadlıq Sarayı \ Neftçilәr,Ras Plaza,Karat Şadlıq Sarayı \ Neftçilәr,1,,
https://www.openstreetmap.org/node/2763516984,40.4049609,49.9388711,Ümid Restoran \ 8 km Bakı,Ümid Restoran,8 km Bakı,7,,
https://www.openstreetmap.org/node/2840081612,40.3806914,49.953544,İST Petrol \ Ukrayna Dairəsi,İST Petrol,Ukrayna Dairəsi,11,,
https://www.openstreetmap.org/node/2840081613,40.3804614,49.9543008,Hakim Market \ Ukrayna Dairəsi,Hakim Market,Ukrayna Dairəsi,11,,
https://www.openstreetmap.org/node/2895336281,40.3883422,49.8811908,Kleopatra Kafe \ Babək,Kleopatra Kafe,Babək,47,https://www.openstreetmap.org/node/2813687139,403.17
https://www.openstreetmap.org/node/2934109074,40.3904726,49.9035886,Aysun Şadlıq Sarayı \ Babək,Aysun Şadlıq Sarayı,Babək,47,https://www.openstreetmap.org/node/2813687139,405.05
https://www.openstreetmap.org/node/2934110656,40.3910424,49.903179,Savarçelli Mebel \ Babək,Savarçelli Mebel,Babək,47,https://www.openstreetmap.org/node/2813687139,405.04
https://www.openstreetmap.org/node/2934110657,40.3910167,49.9028646,Venera Restoran \ Babək,Venera Restoran,Babək,47,https://www.openstreetmap.org/node/2813687139,405.01
https://www.openstreetmap.org/node/2934112951,40.3906368,49.9045278,Qrand Mebel Salonu \ Babək,Qrand Mebel Salonu,Babək,47,https://www.openstreetmap.org/node/2813687139,405.13
https://www.openstreetmap.org/node/2943380003,40.4000448,49.8544567,Alsu Restoranı \ Gənclik,Alsu Restoranı,Gənclik,3,,
https://www.openstreetmap.org/node/2968481807,40.392542,49.9137238,Performance Center Chevrolet salon \ Babək,Performance Center Chevrolet salon,Babək,47,https://www.openstreetmap.org/node/2813687139,405.94
https://www.openstreetmap.org/node/2968485807,40.3924457,49.9162754,AK Petrol \ Babək,AK Petrol,Babək,47,https://www.openstreetmap.org/node/2813687139,406.14
https://www.openstreetmap.org/node/2993845629,40.3586392,50.0755338,Sahil Şadlıq Sarayı \ Hövsan,Sahil Şadlıq Sarayı,Hövsan,90,https://www.openstreetmap.org/node/13233320097,1.02
https://www.openstreetmap.org/node/3029488781,40.3924829,49.8642349,Qafqaz Park \ Heydər Əliyev Mərkəzi,Qafqaz Park,Heydər Əliyev Mərkəzi,1,,
https://www.openstreetmap.org/node/3037815077,40.4282508,49.8513641,158 saylı Uşaq bağçası \ Bakı,158 saylı Uşaq bağçası,Bakı,136,https://www.openstreetmap.org/node/2117350415,6.06
https://www.openstreetmap.org/node/3037815092,40.4295182,49.8531516,244 saylı Məktəb \ Bakı,244 saylı Məktəb,Bakı,136,https://www.openstreetmap.org/node/2117350415,6.24
https://www.openstreetmap.org/node/3037852548,40.4296522,49.8559396,Məktəbəqədər Tərbiyyə Mərkəzi \ Bakı,Məktəbəqədər Tərbiyyə Mərkəzi,Bakı,136,https://www.openstreetmap.org/node/2117350415,6.32
https://www.openstreetmap.org/node/3037852630,40.4270031,49.8526905,25 Saylı Poliklinika \ 7 mkr,25 Saylı Poliklinika,7 mkr,3,,
https://www.openstreetmap.org/node/3037852633,40.4270784,49.8548994,40 saylı Uşaq bağçası \ Bakı,40 saylı Uşaq bağçası,Bakı,136,https://www.openstreetmap.org/node/2117350415,6.02
https://www.openstreetmap.org/node/3039452312,40.4224485,49.8437021,248 saylı Məktəb \ Bakı,248 saylı Məktəb,Bakı,136,https://www.openstreetmap.org/node/2117350415,5.29
https://www.openstreetmap.org/node/3042960120,40.4209386,49.8458932,Azəri restoranı \ 8 mkr,Azəri restoranı,8 mkr,11,,
https://www.openstreetmap.org/node/3042961334,40.4211904,49.8458831,Röya şadlıq sarayı \ 8 mkr,Röya şadlıq sarayı,8 mkr,11,,
https://www.openstreetmap.org/node/3043053784,40.424979,49.8475205,Xudafərin kafesi \ 8 mkr,Xudafərin kafesi,8 mkr,11,,
https://www.openstreetmap.org/node/3043078960,40.4230515,49.838297,Kommunal Layihə İnstitutu \ Vorovski,Kommunal Layihə İnstitutu,Vorovski,1,,
https://www.openstreetmap.org/node/3051031603,40.4335089,50.025448,Məşəl Petrol \ Yeni Suraxanı,Məşəl Petrol,Yeni Suraxanı,28,https://www.openstreetmap.org/node/2769037514,1.07
https://www.openstreetmap.org/node/3066492019,40.3936584,49.966858,Şur Şadlıq Sarayı \ Günəşli,Şur Şadlıq Sarayı,Günəşli,65,https://www.openstreetmap.org/node/1349663395,265.69
https://www.openstreetmap.org/node/3073254911,40.4445956,49.981166,34 saylı Dəri Zöhrəvi Xəstəxana \ Yeni Ramana,34 saylı Dəri Zöhrəvi Xəstəxana,Yeni Ramana,25,,
https://www.openstreetmap.org/node/3227750461,40.390718,49.8866077,Nissan Nurgün Motors \ Babək,Nissan Nurgün Motors,Babək,47,https://www.openstreetmap.org/node/2813687139,403.69
https://www.openstreetmap.org/node/3227750761,40.3905493,49.8859059,İnfiniti Nurgün Motors \ Babək,İnfiniti Nurgün Motors,Babək,47,https://www.openstreetmap.org/node/2813687139,403.63
https://www.openstreetmap.org/node/3302499660,40.3903651,49.9656007,3 saylı Uşaq Bağçası \ Günəşli,3 saylı Uşaq Bağçası,Günəşli,65,https://www.openstreetmap.org/node/1349663395,265.45
https://www.openstreetmap.org/node/3302512719,40.3680423,49.9662525,30 saylı Musiqi Məktəbi \ Günəşli,30 saylı Musiqi Məktəbi,Günəşli,65,https://www.openstreetmap.org/node/1349663395,264.62
